ID,Title,URL,Authors,Venue,Venue Acronym,Venue Type,Year,IC1,IC2,IC3,IC4,IC5,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,EC9,Primary Study,Selected based on title & abstract
1,Comparative study of energy performance between chip and inlet temperature-aware workload allocation in air-cooled data center,https://www.mdpi.com/1996-1073/11/3/669,"Y Bai, L Gu, X Qi",Multidisciplinary Digital Publishing Institute,MDPI,,2018,,,,,,,1,,,,,,,,,No
2,Qos promotion in energy-efficient datacenters through peak load scheduling,https://ieeexplore.ieee.org/abstract/document/8573845/,"C Hu, Y Deng, G Min, P Huang, X Qin",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2018,0,,,,,,,,,,,,,,No,Yes
3,Predictions and Modeling Energy Consumption for IT Data Center,https://books.google.com/books?hl=en&lr=&id=AVyGDwAAQBAJ&oi=fnd&pg=PA1&dq=energy+%22data+center%22%7C%22data+centers%22%7Cdatacenter%7Cdatacenters&ots=JYfkFEMe3L&sig=RVPT-kercyYpm3U0eJHgrVUoxNQ,K Okba,books.google.com,books.google.com,,2019,,,,,,,,,,,,,1,,,No
4,Green energy in data centers,https://www.igi-global.com/chapter/green-energy-in-data-centers/189905,"K Mardamutu, V Ponnusamy, N Zaman",igi-global.com,igi-global.com,,2018,,,,,,,,,,,,1,,,,No
5,Smart-grid-aware load regulation of multiple datacenters towards the variable generation of renewable energy,https://www.mdpi.com/2076-3417/9/3/518,"P Luo, X Wang, H Jin, Y Li, X Yang",Multidisciplinary Digital Publishing Institute,MDPI,J,2019,1,,,1,1,,0,1,1,0,0,0,0,0,No,Yes
6,Green Data Center Analysis and Design for Energy Efficiency Using Clustered and Virtualization Method,https://ieeexplore.ieee.org/abstract/document/8874886/,"JH Moedjahedy, M Taroreh",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Yes,Yes
7,Energy efficient scheduling for cloud data centers using heuristic based migration,https://link.springer.com/article/10.1007/s10586-018-2235-7,"GG Kumar, P Vivekanandan",Springer,Springer,J,2019,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Yes,Yes
8,Cost Reduction for Micro-Grid Powered Data Center Networks with Energy Storage Devices,https://link.springer.com/chapter/10.1007/978-3-319-94268-1_53,"G Zhang, K Yi, W Zhang, D Li",Springer,Springer,,2018,,,,,,,,1,,,,,,,,No
9,Toward Energy Efficient Systems Design for Data Centers,http://search.proquest.com/openview/9935a1c2beb4fb91521f0ebe69ddda50/1?pq-origsite=gscholar&cbl=18750&diss=y,B Luo,search.proquest.com,search.proquest.com,,2019,,,,,,,,,,,,1,,,,No
10,Load Management with Predictions of Solar Energy Production for Cloud Data Centers,https://ieeexplore.ieee.org/abstract/document/9053186/,"M Floridia, D Laganà, C Mastroianni, M Meo, D Renga",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Yes,Yes
