ID,Title,URL,Authors,Venue,Venue Acronym,Venue Type,Year
6,Green Data Center Analysis and Design for Energy Efficiency Using Clustered and Virtualization Method,https://ieeexplore.ieee.org/abstract/document/8874886/ ,"JH Moedjahedy, M Taroreh",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
7,Energy efficient scheduling for cloud data centers using heuristic based migration,https://link.springer.com/article/10.1007/s10586-018-2235-7 ,"GG Kumar, P Vivekanandan",Springer,Springer,J,2019
10,Load Management with Predictions of Solar Energy Production for Cloud Data Centers,https://ieeexplore.ieee.org/abstract/document/9053186/ ,"M Floridia, D Laganà, C Mastroianni, M Meo, D Renga",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020
11,Flexibility-Based Energy and Demand Management in Data Centers: A Case Study for Cloud Computing,https://www.mdpi.com/1996-1073/12/17/3301 ,R Basmadjian,Multidisciplinary Digital Publishing Institute,MDPI,J,2019
13,Predictions and Modeling Energy Consumption for IT Data Center,https://link.springer.com/chapter/10.1007/978-3-030-12065-8_1 ,"M Soltane, P Roose, D Makhlouf, K Okba",Springer,Springer,C,2018
16,An energy-efficient power management for heterogeneous servers in data centers,https://link.springer.com/content/pdf/10.1007/s00607-020-00805-w.pdf,"Q Wang, H Cai, Q Cao, F Wang",Springer,Springer,J,2020
17,MFF: Performance Interference-Aware VM Placement Algorithm for Reducing Energy Consumption in Data Centers,https://centerprode.com/ojit/ojit0301/coas.ojit.0301.01001m.html,"D Mosoti, VO Omwenga, P Ogao",Open Journal for Information Technology,OJIT,J,2020
21,Network-aware energy saving multi-objective optimization in virtualized data centers,https://link.springer.com/article/10.1007/s10586-018-2869-5 ,"M Al-Tarazi, JM Chang",Springer,Springer,J,2019
32,Energy efficient resource selection and allocation strategy for virtual machine consolidation in cloud datacenters,https://search.ieice.org/bin/summary.php?id=e101-d_7_1816 ,"Y Chang, C Gu, F Luo, G Fan, W Fu","The Institute of Electronics, Information and Communication Engineers",IEICE,J,2018
33,Energy-efficient task scheduling for data centers with unstable renewable energy: A robust optimization approach,https://ieeexplore.ieee.org/abstract/document/8726577/ ,"Y Lu, R Wang, P Wang, Y Cao, J Hao, K Zhu",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
34,Variable neighborhood search-based symbiotic organisms search algorithm for energy-efficient scheduling of virtual machine in cloud data center,https://link.springer.com/chapter/10.1007/978-3-319-69889-2_5 ,"M Abdullahi, SI Dishing, MJ Usman",Springer,Springer,J,2019
38,Optimized Renewable Energy Use in Green Cloud Data Centers,https://link.springer.com/chapter/10.1007/978-3-030-33702-5_24 ,"M Xu, AN Toosi, B Bahrani, R Razzaghi, M Singh",Springer,Springer,C,2019
40,An Energy-aware Routing Mechanism based on MBOA for Data Center Network,https://ieeexplore.ieee.org/abstract/document/8836768/ ,"Z Jianzhe, S Qingyu, L Guangwei",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
44,An Energy-Efficient VM migrations optimization in Cloud Data Centers,https://ieeexplore.ieee.org/abstract/document/9133776/ ,"C Thiam, F Thiam",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
49,Jointly optimizing the IT and cooling systems for data center energy efficiency based on multi-agent deep reinforcement learning,https://dl.acm.org/doi/abs/10.1145/3396851.3402658,"C Chi, K Ji, A Marahatta, P Song, F Zhang…",Association for Computing Machinery,ACM,C,2020
51,A robust modeling framework for energy analysis of data centers,https://dl.acm.org/doi/abs/10.1145/3401335.3401648,N Lei,Association for Computing Machinery,ACM,C,2020
